changeobj 1506 -2013.9905, 2352.4514, 13.2120 0.0000, 0.0000, 0.0000 1502
changeobj 1506 -2034.6274, 2317.0885, 13.2588 0.0000, 0.0000, -89.1600 1502
changeobj 1506 -2014.4912, 2345.1898, 16.5603 0.0000, 0.0000, -90.1200 1502
moveobj 17951 -2023.6708, 2338.0330, 1.9195 0.0000, 0.0000, 0.0000 2 -2023.6708, 2338.0330, -1.2344 0.0000, 0.0000, 0.0000 2 -1 20
moveobj 968 -2012.1500, 2293.9099, 15.4200 0.0000, 0.0000, -3.9600 2 -2012.1289, 2293.8911, 15.4200 9.0000, 89.6398, 0.0000 2 -1 20
changeobj 1506 -2025.0852, 2314.0686, 13.2254 0.0000, 0.0000, 0.0000 1502
sell 3000000 -2014.1287 2292.6541 16.1541
area -2019.4408 2338.1252 30.0
obj 19376, -2008.49, 2318.81, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2008.46, 2328.43, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2008.52, 2338.05, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2008.98, 2347.69, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2019.02, 2347.67, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2018.99, 2338.06, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2018.96, 2328.44, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2018.99, 2318.82, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2029.43, 2318.81, 13.22,   0.00, 90.00, 0.00);
obj 19376, -2029.41, 2328.44, 13.22,   0.00, 90.00, 0.00);
obj 10009, -2013.14, 2357.55, 10.00,   0.00, 0.00, -90.00);
obj 19378, -2029.43, 2338.06, 16.66,   0.00, 90.00, 0.00);
obj 19376, -2029.41, 2347.67, 13.22,   0.00, 90.00, 0.00);
obj 3498, -2027.99, 2347.63, 8.74,   0.00, 0.00, 0.00);
obj 3498, -2027.99, 2347.63, 2.00,   0.00, 0.00, 0.00);
obj 19458, -2008.41, 2347.68, 14.94,   0.00, 0.00, 0.00);
obj 19458, -2003.88, 2325.84, 14.94,   0.00, 0.00, 0.00);
obj 19458, -2003.89, 2318.83, 14.94,   0.00, 0.00, 0.00);
obj 19386, -2013.24, 2352.43, 14.94,   0.00, 0.00, -90.00);
obj 19439, -2009.27, 2352.40, 14.94,   0.00, 0.00, -90.00);
obj 19439, -2010.85, 2352.40, 14.94,   0.00, 0.00, -90.00);
obj 19439, -2005.10, 2332.47, 14.94,   0.00, 0.00, -140.00);
