sell 30825 -2936.8000, -484.2900, 1.6800
area -2967.4541 -490.7999
moveobj 968 -2938.6655, -488.0042, 1.0987 0.0000, 90.0000, 103.3800 2 -2938.6655, -488.0042, 1.0987 0.0000, 0.0000, 103.3800 2 -1 20
obj 19381, -2962.06, -473.68, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2960.04, -483.11, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2958.04, -492.52, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2968.29, -494.62, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2970.30, -485.22, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2972.31, -475.83, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2982.52, -478.04, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2980.49, -487.44, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2978.49, -496.82, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2956.12, -501.89, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2966.38, -504.06, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2976.61, -506.24, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2986.74, -508.43, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2988.72, -499.02, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2990.73, -489.62, 3.34,   0.00, 90.00, 12.00);
obj 19381, -2992.74, -480.22, 3.34,   0.00, 90.00, 12.00);
obj 2774, -2950.96, -504.71, -9.68,   0.00, 0.00, 13.00);
obj 2774, -2958.58, -468.78, -9.68,   0.00, 0.00, 13.00);
obj 2774, -2997.99, -477.26, -9.68,   0.00, 0.00, 13.00);
obj 2774, -2990.24, -513.21, -9.68,   0.00, 0.00, 13.00);
obj 970, -2988.80, -513.64, 3.91,   0.00, 0.00, 12.00);
obj 970, -2984.72, -512.79, 3.91,   0.00, 0.00, 12.00);
obj 970, -2980.63, -511.93, 3.91,   0.00, 0.00, 12.00);
obj 970, -2976.50, -511.06, 3.91,   0.00, 0.00, 12.00);
obj 970, -2956.22, -506.66, 3.91,   0.00, 0.00, 12.00);
obj 970, -2952.15, -505.80, 3.91,   0.00, 0.00, 12.00);
obj 970, -2991.23, -512.04, 3.91,   0.00, 0.00, 102.00);
obj 970, -2992.08, -508.00, 3.91,   0.00, 0.00, 102.00);
obj 970, -2992.94, -503.95, 3.91,   0.00, 0.00, 102.00);
obj 970, -2993.81, -499.88, 3.91,   0.00, 0.00, 102.00);
obj 970, -2994.66, -495.81, 3.91,   0.00, 0.00, 102.00);
obj 970, -2995.54, -491.74, 3.91,   0.00, 0.00, 102.00);
obj 970, -2996.42, -487.67, 3.91,   0.00, 0.00, 102.00);
obj 970, -2997.27, -483.60, 3.91,   0.00, 0.00, 102.00);
obj 970, -2998.14, -479.53, 3.91,   0.00, 0.00, 102.00);
obj 970, -2998.31, -478.64, 3.91,   0.00, 0.00, 102.00);
obj 970, -2996.70, -476.22, 3.91,   0.00, 0.00, 12.00);
obj 970, -2992.66, -475.38, 3.91,   0.00, 0.00, 12.00);
obj 970, -2988.61, -474.51, 3.91,   0.00, 0.00, 12.00);
obj 970, -2984.55, -473.65, 3.91,   0.00, 0.00, 12.00);
obj 970, -2980.55, -472.81, 3.91,   0.00, 0.00, 12.00);
obj 970, -2976.50, -471.93, 3.91,   0.00, 0.00, 12.00);
obj 970, -2972.48, -471.08, 3.91,   0.00, 0.00, 12.00);
obj 970, -2968.44, -470.22, 3.91,   0.00, 0.00, 12.00);
obj 970, -2964.41, -469.37, 3.91,   0.00, 0.00, 12.00);
obj 970, -2960.34, -468.48, 3.91,   0.00, 0.00, 12.00);
obj 19435, -2964.60, -493.90, 4.33,   0.00, 0.00, 11.00);
obj 19378, -2969.65, -495.06, 3.39,   0.00, 90.00, 11.00);
obj 19378, -2971.48, -485.65, 3.39,   0.00, 90.00, 11.00);
obj 19435, -2966.24, -494.19, 4.33,   0.00, 0.00, 11.00);
obj 19435, -2965.23, -494.73, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2965.50, -493.35, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2966.98, -485.44, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2967.85, -484.83, 4.33,   0.00, 0.00, 11.00);
obj 19435, -2967.25, -483.99, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2976.66, -486.42, 4.33,   0.00, 0.00, 11.00);
obj 19435, -2966.39, -484.59, 4.33,   0.00, 0.00, 11.00);
obj 19435, -2975.74, -486.99, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2975.20, -486.13, 4.33,   0.00, 0.00, 11.00);
obj 19435, -2976.04, -485.57, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2974.77, -495.87, 4.33,   0.00, 0.00, 12.00);
obj 19435, -2974.21, -495.02, 4.33,   0.00, 0.00, 100.00);
obj 19435, -2973.29, -495.63, 4.33,   0.00, 0.00, 11.00);
obj 19435, -2973.89, -496.46, 4.33,   0.00, 0.00, 100.00);
obj 19377, -2971.93, -483.46, 6.17,   0.00, 90.00, 11.00);
obj 19435, -2963.35, -500.22, 7.85,   0.00, 0.00, 11.00);
obj 19435, -2963.39, -500.24, 9.98,   0.00, 0.00, 11.00);
obj 19435, -2963.85, -497.73, 6.92,   90.00, 0.00, 11.00);
